YEAR,PROGRAM,STUDY,DESCRIPTION,DESIGN,LOC,VAR,TYPE,REP,BLOCK,PLOT,ROW,COL,TWT,YIELD,PLTHT,NOTES
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",11_26,plot,1,1,2009,1,39,811,4398,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",11_73,plot,1,1,2010,1,40,803,4452,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",13_13,plot,1,19,2187,19,37,774,4398,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",13_59,plot,1,19,2188,19,38,763,5138,37.01,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",14_10,plot,1,10,2097,10,37,803,5219,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",14_2,plot,1,10,2091,10,31,817,4748,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",14_22,plot,1,10,2092,10,32,780,5037,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",14_23,plot,1,10,2093,10,33,786,4687,29.92,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",14_31,plot,1,10,2099,10,39,790,5239,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",14_65,plot,1,10,2100,10,40,792,4842,36.22,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",14_66,plot,1,10,2098,10,38,798,4620,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",14_71,plot,1,10,2095,10,35,786,5528,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",14_83,plot,1,10,2096,10,36,0,5548,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",14_88,plot,1,10,2094,10,34,818,5615,37.01,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",15_18,plot,1,4,2035,4,35,790,4210,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",15_44,plot,1,4,2036,4,36,772,5044,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",4_12,plot,1,5,2043,5,33,769,4660,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",4_19,plot,1,5,2044,5,34,787,4418,30.71,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",7_101,plot,1,8,2071,8,31,807,4351,35.83,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",7_105,plot,1,8,2075,8,35,791,5246,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",7_11,plot,1,8,2074,8,34,778,5434,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",7_140,plot,1,8,2079,8,39,791,5084,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",7_29,plot,1,8,2077,8,37,790,4916,39.76,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",7_45,plot,1,8,2076,8,36,771,5400,36.22,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",7_55,plot,1,8,2080,8,40,774,4808,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",7_61,plot,1,8,2073,8,33,789,4243,44.09,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",7_86,plot,1,8,2072,8,32,785,4977,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",7_9,plot,1,8,2078,8,38,788,4405,31.5,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1111,plot,1,15,2148,15,38,791,5232,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1119,plot,1,15,2150,15,40,765,4096,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1125,plot,1,15,2149,15,39,751,4634,36.22,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1127,plot,1,15,2147,15,37,802,4876,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1140,plot,1,7,2064,7,34,763,4203,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1156,plot,1,7,2061,7,31,801,3282,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1159,plot,1,7,2063,7,33,782,4096,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1174,plot,1,9,2087,9,37,775,5259,34.65,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1182,plot,1,9,2086,9,36,806,5360,32.68,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1186,plot,1,9,2088,9,38,776,4647,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1190,plot,1,9,2085,9,35,784,5219,37.01,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1213,plot,1,4,2038,4,38,791,4701,30.71,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1219,plot,1,4,2040,4,40,788,4122,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1221,plot,1,4,2039,4,39,766,4781,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1231,plot,1,4,2037,4,37,777,5024,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1236,plot,1,20,2200,20,40,776,5272,34.65,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1240,plot,1,20,2198,20,38,777,5198,28.35,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1248,plot,1,20,2197,20,37,796,5387,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1268,plot,1,20,2199,20,39,805,5555,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1287,plot,1,2,2012,2,32,801,4560,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1298,plot,1,2,2013,2,33,794,3901,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1302W,plot,1,2,2014,2,34,805,4741,31.5,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1312,plot,1,2,2011,2,31,796,3746,34.65,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1315W,plot,1,3,2026,3,36,763,4728,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1316W,plot,1,3,2025,3,35,766,4230,34.65,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1322,plot,1,3,2027,3,37,767,4573,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1341,plot,1,3,2028,3,38,806,5326,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1353,plot,1,2,2018,2,38,792,4728,35.83,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1371,plot,1,2,2017,2,37,812,5393,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1380,plot,1,2,2016,2,36,787,4533,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1397,plot,1,2,2015,2,35,770,4694,29.92,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1409,plot,1,6,2055,6,35,787,4983,38.58,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1414,plot,1,6,2056,6,36,770,4519,34.65,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1418,plot,1,6,2054,6,34,807,5272,34.65,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1431,plot,1,6,2053,6,33,786,5104,38.58,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1539,plot,1,5,2047,5,37,779,4855,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1542,plot,1,5,2050,5,40,753,4257,31.5,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1543,plot,1,5,2049,5,39,783,4586,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1545,plot,1,5,2048,5,38,792,4755,34.65,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1555W,plot,1,17,2170,17,40,818,4748,36.22,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1559,plot,1,17,2169,17,39,810,4519,34.65,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1584,plot,1,17,2168,17,38,822,4163,39.37,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1600W,plot,1,17,2167,17,37,797,4701,36.22,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1615,plot,1,15,2144,15,34,777,4943,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1620,plot,1,15,2146,15,36,761,4983,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1631,plot,1,15,2145,15,35,759,5319,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1633,plot,1,15,2143,15,33,739,4512,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1642,plot,1,16,2160,16,40,803,4788,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1644,plot,1,16,2157,16,37,815,5050,38.58,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1645,plot,1,16,2158,16,38,805,4573,34.65,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1647,plot,1,16,2159,16,39,812,5319,34.65,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1654,plot,1,1,2004,1,34,778,4835,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1656,plot,1,1,2003,1,33,779,3719,27.56,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1657,plot,1,1,2002,1,32,741,4028,31.5,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1665,plot,1,1,2001,1,31,790,3477,29.92,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1686,plot,1,3,2021,3,31,764,2690,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1715,plot,1,3,2024,3,34,793,4479,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1731,plot,1,3,2022,3,32,794,3329,31.5,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1746,plot,1,3,2023,3,33,787,4734,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1758W,plot,1,4,2031,4,31,796,2791,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1767,plot,1,4,2034,4,34,746,4701,31.5,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1789,plot,1,4,2033,4,33,738,3551,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1799,plot,1,4,2032,4,32,760,4512,33.46,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT103,plot,1,21,3103,21,33,814,4190,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT110,plot,1,22,3118,22,38,716,2986,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT111,plot,1,22,3112,22,32,776,4089,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT112,plot,1,21,3110,21,40,761,2878,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT115,plot,1,22,3119,22,39,780,4075,36.22,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT125,plot,1,22,3117,22,37,759,3342,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT135,plot,1,21,3106,21,36,782,4109,29.13,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT154,plot,1,21,3104,21,34,737,3188,29.13,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT163,plot,1,21,3102,21,32,681,2293,31.5,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT185,plot,1,21,3101,21,31,792,3786,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT194,plot,1,21,3109,21,39,737,4539,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT199,plot,1,22,3114,22,34,781,4048,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT213,plot,1,21,3108,21,38,780,4761,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT224,plot,1,21,3105,21,35,773,3268,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT237,plot,1,22,3120,22,40,766,3961,29.92,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT30,plot,1,22,3115,22,35,785,2730,29.13,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT38,plot,1,22,3113,22,33,805,4082,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT64,plot,1,21,3107,21,37,786,4391,32.28,
